,Date,Open,Close,High,Low,Volume,AdjClose
0,2021-07-01,136.600006,137.270004,137.330002,135.759995,52485800,137.270004
1,2021-07-02,137.899994,139.960007,140.0,137.75,78852600,139.960007
2,2021-07-06,140.070007,142.020004,143.149994,140.070007,108181800,142.020004
3,2021-07-07,143.539993,144.570007,144.889999,142.660004,104911600,144.570007
4,2021-07-08,141.580002,143.240005,144.059998,140.669998,105575500,143.240005
5,2021-07-09,142.75,145.110001,145.649994,142.649994,99788400,145.110001
6,2021-07-12,146.210007,144.5,146.320007,144.0,76299700,144.5
7,2021-07-13,144.029999,145.639999,147.460007,143.630005,100827100,145.639999
8,2021-07-14,148.100006,149.149994,149.570007,147.679993,127050800,149.149994
9,2021-07-15,149.240005,148.479996,150.0,147.089996,106820300,148.479996
10,2021-07-16,148.460007,146.389999,149.759995,145.880005,93100300,146.389999
11,2021-07-19,143.75,142.449997,144.070007,141.669998,121434600,142.449997
12,2021-07-20,143.460007,146.149994,147.100006,142.960007,96350000,146.149994
13,2021-07-21,145.529999,145.399994,146.130005,144.630005,74993500,145.399994
14,2021-07-22,145.940002,146.800003,148.199997,145.809998,77338200,146.800003
15,2021-07-23,147.550003,148.559998,148.720001,146.919998,71447400,148.559998
16,2021-07-26,148.270004,148.990005,149.830002,147.699997,72434100,148.990005
17,2021-07-27,149.119995,146.770004,149.210007,145.550003,104818600,146.770004
18,2021-07-28,144.809998,144.979996,146.970001,142.539993,118931200,144.979996
19,2021-07-29,144.690002,145.639999,146.550003,144.580002,56699500,145.639999
20,2021-07-30,144.380005,145.860001,146.330002,144.110001,70382000,145.860001
